"EdgeBetweenness","interaction","name","selected","shared interaction","shared name"
"2.0","pp","YMR058W (pp) YER145C","false","pp","YMR058W (pp) YER145C"
"496.0","pd","YML123C (pd) YFR034C","false","pd","YML123C (pd) YFR034C"
"496.0","pp","YPL031C (pp) YHR071W","false","pp","YPL031C (pp) YHR071W"
"135.97575758","pp","YML051W (pp) YBR020W","false","pp","YML051W (pp) YBR020W"
"143.37575758","pp","YML051W (pp) YDR009W","false","pp","YML051W (pp) YDR009W"
"615.77575758","pd","YDR009W (pd) YGL035C","false","pd","YDR009W (pd) YGL035C"
"496.0","pp","YLL019C (pp) YIL113W","false","pp","YLL019C (pp) YIL113W"
"988.0","pp","YIL113W (pp) YHR030C","false","pp","YIL113W (pp) YHR030C"
"496.0","pd","YML024W (pd) YNL216W","false","pd","YML024W (pd) YNL216W"
"4.0","pp","YOR039W (pp) YOR303W","false","pp","YOR039W (pp) YOR303W"
"2361.73260073","pd","YER111C (pd) YMR043W","false","pd","YER111C (pd) YMR043W"
"19179.59362859","pd","YDR146C (pd) YMR043W","false","pd","YDR146C (pd) YMR043W"
"19180.22220002","pd","YDR146C (pd) YGL035C","false","pd","YDR146C (pd) YGL035C"
"2.0","pp","YKL211C (pp) YER090W","false","pp","YKL211C (pp) YER090W"
"496.0","pd","YDR354W (pd) YEL009C","false","pd","YDR354W (pd) YEL009C"
"2.0","pp","YNL113W (pp) YPR110C","false","pp","YNL113W (pp) YPR110C"
"496.0","pp","YMR044W (pp) YIL061C","false","pp","YMR044W (pp) YIL061C"
"248.5","pp","YOL149W (pp) YOR167C","false","pp","YOL149W (pp) YOR167C"
"5.0","pp","YLR191W (pp) YGL153W","false","pp","YLR191W (pp) YGL153W"
"6.0","pp","YER110C (pp) YML007W","false","pp","YER110C (pp) YML007W"
"3206.08455433","pp","YBR135W (pp) YER102W","false","pp","YBR135W (pp) YER102W"
"5.0","pp","YNL214W (pp) YGL153W","false","pp","YNL214W (pp) YGL153W"
"496.0","pp","YOR089C (pp) YDR323C","false","pp","YOR089C (pp) YDR323C"
"496.0","pd","YNL117W (pd) YJL089W","false","pd","YNL117W (pd) YJL089W"
"496.0","pp","YLR175W (pp) YNL307C","false","pp","YLR175W (pp) YNL307C"
"988.0","pp","YDR167W (pp) YLR432W","false","pp","YDR167W (pp) YLR432W"
"7.0","pp","YDR244W (pp) YLR191W","false","pp","YDR244W (pp) YLR191W"
"4.0","pp","YDR244W (pp) YGL153W","false","pp","YDR244W (pp) YGL153W"
"7.0","pp","YDR244W (pp) YNL214W","false","pp","YDR244W (pp) YNL214W"
"12.0","pp","YDR244W (pp) YDR142C","false","pp","YDR244W (pp) YDR142C"
"12.0","pp","YDR244W (pp) YDL078C","false","pp","YDR244W (pp) YDL078C"
"8.0","pp","YDR142C (pp) YGL153W","false","pp","YDR142C (pp) YGL153W"
"12.0","pp","YDR142C (pp) YIL160C","false","pp","YDR142C (pp) YIL160C"
"249.0","pp","YAR007C (pp) YML032C","false","pp","YAR007C (pp) YML032C"
"739.0","pd","YAR007C (pd) YPL111W","false","pd","YAR007C (pd) YPL111W"
"496.0","pp","YKL161C (pp) YPL089C","false","pp","YKL161C (pp) YPL089C"
"249.0","pp","YLR075W (pp) YPR102C","false","pp","YLR075W (pp) YPR102C"
"323.0","pp","YPL240C (pp) YBR155W","false","pp","YPL240C (pp) YBR155W"
"8233.28291708","pp","YPL240C (pp) YOR036W","false","pp","YPL240C (pp) YOR036W"
"496.0","pp","YER052C (pp) YNL135C","false","pp","YER052C (pp) YNL135C"
"988.0","pp","YNL135C (pp) YDR174W","false","pp","YNL135C (pp) YDR174W"
"4.0","pd","YPR124W (pd) YMR021C","false","pd","YPR124W (pd) YMR021C"
"988.0","pp","YGL134W (pp) YPL031C","false","pp","YGL134W (pp) YPL031C"
"1476.0","pp","YGL134W (pp) YLR258W","false","pp","YGL134W (pp) YLR258W"
"4780.0","pp","YLR258W (pp) YIL045W","false","pp","YLR258W (pp) YIL045W"
"2916.0","pp","YLR258W (pp) YBR274W","false","pp","YLR258W (pp) YBR274W"
"988.0","pd","YJL194W (pd) YMR043W","false","pd","YJL194W (pd) YMR043W"
"248.5","pp","YBL026W (pp) YOR167C","false","pp","YBL026W (pp) YOR167C"
